#KEY	Clip_wcdRFP_II_2	Clip_wcdRFP_III_2	Clip_bamGFP_I_2	Clip_bamGFP_II_2	Clip_bamGFP_III_2
5SrRNA:CR33377	0	0	0	0	0
5SrRNA:CR33378	0	0	0	0	0
5SrRNA:CR33379	0	0	0	0	0
5SrRNA:CR33380	0	0	0	0	0
5SrRNA:CR33381	0	0	0	0	0
5SrRNA:CR33382	0	0	0	0	0
5SrRNA:CR33383	0	0	0	0	0
5SrRNA:CR33384	0	0	0	0	0
5SrRNA:CR33385	0	0	0	0	0
5SrRNA:CR33386	0	0	0	0	0
5SrRNA:CR33387	0	0	0	0	0
5SrRNA:CR33388	0	0	0	0	0
5SrRNA:CR33389	0	0	0	0	0
5SrRNA:CR33390	0	0	0	0	0
5SrRNA:CR33391	0	0	0	0	0
5SrRNA:CR33392	0	0	0	0	0
5SrRNA:CR33393	0	0	0	0	0
5SrRNA:CR33394	0	0	0	0	0
5SrRNA:CR33395	0	0	0	0	0
5SrRNA:CR33396	0	0	0	0	0
5SrRNA:CR33397	0	0	0	0	0
5SrRNA:CR33398	0	0	0	0	0
5SrRNA:CR33399	0	0	0	0	0
5SrRNA:CR33400	0	0	0	0	0
5SrRNA:CR33401	0	0	0	0	0
5SrRNA:CR33402	0	0	0	0	0
5SrRNA:CR33403	0	0	0	0	0
5SrRNA:CR33404	0	0	0	0	0
5SrRNA:CR33405	0	0	0	0	0
5SrRNA:CR33406	0	0	0	0	0
5SrRNA:CR33407	0	0	0	0	0
5SrRNA:CR33408	0	0	0	0	0
5SrRNA:CR33409	0	0	0	0	0
5SrRNA:CR33410	0	0	0	0	0
5SrRNA:CR33411	0	0	0	0	0
5SrRNA:CR33412	0	0	0	0	0
5SrRNA:CR33413	0	0	0	0	0
5SrRNA:CR33414	0	0	0	0	0
5SrRNA:CR33415	0	0	0	0	0
5SrRNA:CR33417	0	0	0	0	0
5SrRNA:CR33418	0	0	0	0	0
5SrRNA:CR33419	0	0	0	0	0
5SrRNA:CR33420	0	0	0	0	0
5SrRNA:CR33421	0	0	0	0	0
5SrRNA:CR33422	0	0	0	0	0
5SrRNA:CR33423	0	0	0	0	0
5SrRNA:CR33424	0	0	0	0	0
5SrRNA:CR33425	0	0	0	0	0
5SrRNA:CR33426	0	0	0	0	0
5SrRNA:CR33427	0	0	0	0	0
5SrRNA:CR33428	0	0	0	0	0
5SrRNA:CR33429	0	0	0	0	0
5SrRNA:CR33430	0	0	0	0	0
5SrRNA:CR33431	0	0	0	0	0
5SrRNA:CR33432	0	0	0	0	0
5SrRNA:CR33433	0	0	0	0	0
5SrRNA:CR33434	0	0	0	0	0
5SrRNA:CR33435	0	0	0	0	0
5SrRNA:CR33436	0	0	0	0	0
5SrRNA:CR33437	0	0	0	0	0
5SrRNA:CR33438	0	0	0	0	0
5SrRNA:CR33439	0	0	0	0	0
5SrRNA:CR33440	0	0	0	0	0
5SrRNA:CR33441	0	0	0	0	0
5SrRNA:CR33442	0	0	0	0	0
5SrRNA:CR33443	0	0	0	0	0
5SrRNA:CR33444	0	0	0	0	0
5SrRNA:CR33445	0	0	0	0	0
5SrRNA:CR33446	0	0	0	0	0
5SrRNA:CR33447	0	0	0	0	0
5SrRNA:CR33448	0	0	0	0	0
5SrRNA:CR33449	0	0	0	0	0
5SrRNA:CR33450	0	0	0	0	0
5SrRNA:CR33451	0	0	0	0	0
5SrRNA:CR33452	0	0	0	0	0
7B2	9	9	0	0	9
7SLRNA:CR32864	0	0	0	0	0
7SLRNA:CR42652	0	0	0	0	0
825-Oak	0	0	0	0	0
A16	1064	1055	451	503	655
AANATL2	8	2	14	0	13
ABCB7	1169	1116	542	629	699
ACC	10958	12738	4943	5393	6609
ACXA	0	0	0	0	0
ACXB	0	0	0	0	0
ACXC	0	0	0	0	0
ACXD	140	152	1	65	57
ACXE	0	0	0	0	0
ADD1	2592	2533	721	775	985
ADPS	11	3	0	6	6
AGBE	1579	1463	535	498	697
AGO1	9895	10945	3936	4804	5614
AGO2	15629	17180	9254	4798	9768
AGO3	5877	4416	434	2258	2215
AIF	2700	2397	1059	1269	1376
AIMP1	475	372	383	370	316
AIMP2	1675	1321	1238	925	1215
AIMP3	588	502	401	322	448
ALiX	3494	3339	1392	1537	2399
AMPKalpha	2394	2398	911	731	1470
AMPdeam	7674	9098	3837	3162	5334
AOX1	1570	1498	508	762	1128
AOX2	172	209	66	78	128
AOX3	3640	3180	956	1628	1687
AOX4	0	2	0	0	0
AP-1-2beta	2907	2816	2481	1934	2204
AP-1gamma	2777	2493	2162	1883	1676
AP-1mu	1940	1937	1185	857	1095
AP-1sigma	2612	2292	1148	1110	1446
AP-2alpha	7246	7231	4497	3438	4606
AP-2mu	2498	3045	1957	1284	1750
AP-2sigma	1946	1813	918	758	1180
APC10	223	250	170	145	178
APC4	675	524	144	299	352
APC7	1815	1622	139	392	364
APP-BP1	794	692	324	357	458
AQP	2	3	0	14	2
ARY	0	0	0	0	0
ASPP	1248	1386	924	746	1069
ATP7	3939	4668	1047	1210	2682
ATP8B	931	1077	119	230	785
ATPCL	6609	6723	3548	3699	4102
ATPsynB	2710	2209	2164	1783	2151
ATPsynC	37657	32736	28535	22935	28198
ATPsynCF6	2997	2683	2348	1515	2237
ATPsynCF6L	0	0	0	0	0
ATPsynD	3003	3047	2955	2214	2401
ATPsynE	1867	1304	1934	1432	1667
ATPsynF	2104	1477	1617	1142	1431
ATPsynG	2762	2236	1858	1547	2090
ATPsynGL	0	0	0	4	0
ATPsynO	3526	2818	2818	2199	2673
ATPsynbeta	37829	34372	23220	17403	29085
ATPsynbetaL	33	21	10	14	28
ATPsyndelta	1546	1466	1638	1232	1291
ATPsynepsilonL	76	28	0	14	15
ATPsyngamma	4153	3718	3802	3119	3057
ATbp	376	315	109	110	135
Aac11	4560	4342	2521	2647	3077
Aatf	1510	1418	626	714	692
Abd-B	24	17	12	8	2
Abi	3338	3417	1013	1105	1634
Abl	3555	3903	1158	1637	1974
Abp1	3701	4198	899	722	1680
Ac13E	1262	1611	343	605	923
Ac3	51	56	10	22	30
Ac76E	1869	2056	295	294	522
Ac78C	47	52	18	50	33
AcCoAS	1323	1372	373	284	374
Acam	0	0	0	0	0
Ace	92	50	443	141	41
Acer	869	1098	328	1603	1775
Acf	4609	4429	1180	1611	1913
Ack	2300	2813	458	691	1383
Ack-like	2387	2193	976	1076	1139
Acn	3344	3061	1641	2058	1910
Acon	7440	7119	5628	4069	4789
Acox57D-d	1813	2712	49	195	661
Acox57D-p	2201	2193	82	304	667
Acp1	0	0	0	0	0
Acp24A4	1	1	0	8	2
Acp26Aa	13	2	0	18	0
Acp26Ab	3	15	0	0	0
Acp29AB	9	10	0	0	0
Acp32CD	0	1	0	0	3
Acp33A	0	0	0	0	0
Acp36DE	3	1	0	0	6
Acp53C14a	8	5	0	0	7
Acp53C14b	4	5	0	1	15
Acp53C14c	16	7	0	0	3
Acp53Ea	2	11	0	0	0
Acp54A1	0	3	0	0	0
Acp62F	0	0	0	0	0
Acp63F	1	0	5	0	0
Acp65Aa	0	2	0	0	0
Acp76A	1	3	0	0	2
Acp95EF	2	0	0	0	0
Acp98AB	16	11	0	0	0
Acph-1	3175	3234	967	867	1753
Acsl	21499	27920	3912	3998	14025
Act42A	59001	66044	14297	8715	16277
Act57B	349	139	338	88	652
Act5C	72060	68633	51052	36470	56149
Act79B	9	5	0	6	7
Act87E	15	18	19	1	15
Act88F	3	0	0	0	0
Actbeta	100	86	0	15	12
Actn	3263	3475	3917	3100	2793
Actn3	14	17	4	6	1
Acyp	2	1	0	0	5
Acyp2	432	361	222	164	261
AdSL	1494	1292	632	553	832
AdSS	3006	2914	2083	1822	2109
Ada	124	86	77	89	113
Ada1-1	18	14	17	19	16
Ada1-2	194	149	88	151	94
Ada2a	334	260	91	122	218
Ada2b	2303	2370	669	830	1003
Ada3	863	880	399	367	571
Adam	4732	4204	2849	2306	2486
AdamTS-A	2436	2554	2327	2006	2177
Adar	3167	3338	765	1033	1693
Adat1	179	236	69	78	146
Adck	641	624	475	343	431
AdenoK	1489	1290	551	799	759
Adf1	1245	1336	557	458	910
Adgf-A	2761	3415	856	409	1159
Adgf-A2	148	146	9	21	10
Adgf-B	23	13	0	4	5
Adgf-C	7	7	0	3	9
Adgf-D	9	6	4	27	8
Adgf-E	0	0	0	0	0
Adh	8	8	1	5	20
Adhr	0	0	0	0	0
Adi1	779	709	263	287	584
AdipoR	12087	13183	2657	2188	5455
Adk1	186	127	106	127	187
Adk2	4178	4320	2351	2058	2910
Adk3	3835	3515	1284	1081	1760
AdoR	19	7	12	2	7
Ady43A	468	398	200	344	243
Aef1	3068	3117	1232	1297	1417
Afti	2520	2731	772	954	1341
Ag5r	1	8	0	0	17
Ag5r2	0	0	7	0	0
Ahcy	4851	4488	2934	2726	3601
AhcyL1	5055	6259	1348	1178	2497
AhcyL2	50	96	22	4	62
Ak6	619	467	83	112	347
Akap200	19088	21486	4383	6050	8369
Akh	47	74	0	0	12
AkhR	9	9	0	0	3
Akt1	5268	5238	2199	2428	3251
AlaRS	5443	5118	5207	4433	4095
AlaRS-m	866	876	391	548	580
Alas	789	934	654	461	665
Ald	6509	6957	3365	3044	3631
Aldh	6038	5859	2320	2987	3724
Aldh-III	8566	10158	760	708	2970
Alg-2	2606	2267	1035	692	1491
Alg10	449	381	236	196	224
Alh	3896	3715	1153	1739	1824
Alk	0	8	0	0	0
AlkB	466	508	175	104	271
Alp1	3	7	0	0	3
Alp2	3	14	57	5	75
Alp4	1059	2013	4475	307	2714
Alr	269	320	141	147	171
Als2	2864	3019	751	998	1503
Ama	0	0	0	0	0
Amnionless	6	2	0	0	1
Amph	2593	2275	1415	867	1429
Amt	13	14	6	2	7
Amun	4692	4386	2615	3802	2482
Amy-d	0	4	9	0	7
Amy-p	1	2	0	0	8
Amyrel	55	33	27	41	38
Ance	551	599	74	150	647
Ance-2	40	40	2	24	34
Ance-3	21	12	5	24	8
Ance-4	3	0	0	0	0
Ance-5	43	40	6	17	19
Andorra	0	0	0	0	0
Ank	16953	17958	6483	5708	10842
Ank2	36	11	0	0	14
Ankle2	3840	3847	870	1270	1710
Anp	0	0	0	0	0
Ant2	234	205	184	426	384
Antp	36	21	11	24	17
AnxB10	969	782	580	374	606
AnxB11	2615	2472	1440	750	1385
AnxB9	11678	14398	2501	1861	7359
Aos1	2165	2198	837	1271	1320
Apc	3861	4049	1432	2273	2303
Apc2	1005	941	179	272	398
ApepP	2452	2425	1536	973	1604
Apf	516	477	257	213	355
Aplip1	6	7	0	1	2
Apoltp	80	38	5	29	3
Appl	52	53	0	30	49
Aprt	501	482	363	221	396
Aps	10007	9857	4605	4649	5720
Arc1	5287	5977	1303	2055	7207
Arc2	222	219	79	38	101
Arc42	761	829	381	261	423
Archease	672	650	287	257	434
Arf102F	4005	3479	3050	1385	2584
Arf51F	3866	3772	2069	1523	2063
Arf79F	19907	18566	16697	11109	17442
ArfGAP1	2482	2374	1961	1571	1745
ArfGAP3	2478	2456	2473	1874	2149
Arfip	723	717	347	255	284
Arfrp1	518	372	237	180	200
ArgRS	2579	2225	1460	1061	1902
ArgRS-m	682	465	193	231	282
Argk	5959	5752	3862	4463	3819
Arl1	1067	978	1022	547	871
Arl2	317	335	99	158	169
Arl4	2724	2424	1004	811	1370
Arl5	1202	1116	476	424	671
Arl6	17	20	2	15	27
Arp1	2834	2995	1568	1327	2043
Arp10	412	393	257	365	378
Arp2	5373	5501	2480	2481	2957
Arp3	3701	3780	2632	1788	2368
Arp5	556	458	243	297	335
Arp53D	0	0	0	14	0
Arp6	578	591	329	332	402
Arp8	535	432	177	193	263
Arpc1	1545	1612	1171	1019	1211
Arpc2	6978	6661	3061	2830	3854
Arpc3A	1318	1416	521	324	968
Arpc3B	275	350	11	10	197
Arpc4	957	953	524	492	641
Arpc5	979	936	794	532	769
Arr1	0	0	0	0	0
Arr2	0	0	0	0	0
Ars2	5601	4858	3134	2581	2725
Art1	4148	4015	1559	1310	2475
Art2	1	1	0	0	1
Art3	1672	1480	838	700	1018
Art4	2821	2460	838	1148	1257
Art6	1	2	4	0	0
Art7	748	652	376	331	449
Art8	705	576	311	309	404
Art9	0	0	0	0	0
Arv1	401	385	157	114	232
Asap	4087	5368	963	1024	2760
Asator	1240	1239	481	546	716
Asciz	351	296	72	138	162
Ask1	3037	3538	602	847	1714
AsnRS	3910	3729	3588	2968	3175
AsnRS-m	308	226	172	159	158
AsnS	9020	8607	2970	4078	4982
AspRS	4568	4512	1983	2189	2877
AspRS-m	3164	2893	1188	1606	1487
Asph	973	910	277	389	771
AstA	8	5	0	8	4
AstA-R1	0	0	0	0	0
AstA-R2	0	0	0	0	7
AstC	3	0	0	125	0
AstC-R1	0	0	0	0	0
AstC-R2	0	0	0	3	0
AstCC	0	1	0	0	0
Asx	4483	4462	1116	2100	2652
Atac1	281	317	97	104	184
Atac2	837	695	215	267	469
Atac3	600	640	280	278	369
Ate1	993	977	334	254	479
Atet	27905	34396	1811	1679	14118
Atf-2	485	440	176	151	200
Atf3	1466	1644	307	317	793
Atf6	3685	3410	1606	1250	2430
Atg1	3808	3701	717	1165	1911
Atg10	106	116	36	49	91
Atg101	1643	1681	277	538	896
Atg12	257	276	120	85	163
Atg13	3358	3823	731	833	1696
Atg14	579	579	248	255	393
Atg16	1024	936	470	458	531
Atg17	8914	10034	1687	2733	5403
Atg18a	3691	4146	974	991	2950
Atg18b	2858	3615	623	530	1967
Atg2	6551	7614	1582	1998	3823
Atg3	1549	1427	737	462	777
Atg4a	1024	1129	409	393	654
Atg4b	1438	1454	1070	681	1016
Atg5	882	950	256	198	484
Atg6	931	908	306	432	635
Atg7	1490	1829	444	362	914
Atg8a	20279	23912	3361	3672	14731
Atg8b	0	0	0	0	0
Atg9	1804	2330	430	359	1925
Atox1	1698	1533	2047	1114	1352
Atpalpha	16516	19465	12577	8439	12176
AttA	134	145	0	0	73
AttB	291	316	11	4	171
AttC	0	0	0	6	0
AttD	0	2	0	0	0
Atu	1046	791	482	540	533
Atx-1	4	8	1	2	0
Atx2	3187	3229	3190	2511	1958
Atxn7	880	1047	396	401	662
Aven	110	111	73	19	88
Awh	1	6	4	11	0
Axn	1996	2084	616	1005	933
Axs	438	336	145	166	214
Axud1	2868	2790	957	1056	1231
B-H1	0	3	0	0	0
B-H2	0	0	0	0	0
B4	10368	12270	1661	2520	6180
B52	6147	5589	3840	4070	4608
B9d1	6	22	0	19	6
B9d2	0	0	0	0	0
BBS1	3	4	0	0	2
BBS4	2	0	0	0	0
BBS8	41	25	14	16	35
BCAS2	332	350	151	286	265
BCL7-like	1350	1110	474	493	505
BEAF-32	1326	1204	468	519	605
BG642163	0	0	0	0	0
BG642167	0	0	0	0	0
BG642312	27	40	9	9	7
BHD	282	238	125	128	156
BI-1	5060	4716	2044	1119	2901
BOD1	1180	1272	638	869	649
BRWD3	3315	3498	1435	2289	1893
BTBD9	610	620	151	269	256
Bacc	6231	5415	3084	2846	3086
Bace	1	3	0	0	13
Baldspot	3320	3058	3960	2364	3060
Bap111	1296	1145	763	651	593
Bap170	3042	2688	945	2074	1526
Bap55	1447	1285	712	633	969
Bap60	2471	2115	870	973	1358
Bdbt	702	620	255	208	369
Bem46	627	634	426	354	444
Best1	4447	4671	690	1205	2065
Best2	3438	5071	3687	2081	5002
Best3	2	8	2	0	12
Best4	0	0	0	0	0
Bet1	515	432	682	406	454
Bet3	604	655	338	316	505
Bet5	469	536	188	197	370
Bgb	440	374	65	157	184
BicC	0	0	0	0	0
BicD	3636	3442	1691	2443	1950
BigH1	3999	4125	274	455	462
Bili	20	26	5	14	17
Bin1	854	708	413	414	543
Bka	528	421	259	237	295
Blimp-1	29	40	49	26	37
Blm	1765	1533	298	476	624
Blos1	337	260	154	166	239
Blos2	320	297	126	166	238
Blos3	439	324	221	220	251
Blos4	306	222	47	62	135
Bmcp	1095	1118	395	525	628
BoYb	798	673	214	295	298
BobA	0	1	0	0	0
Br140	1315	1443	562	661	687
Brca2	1254	1160	273	357	462
Brd	4	5	0	0	0
Brd8	735	629	398	486	434
Bre1	2651	2377	1192	1239	1084
Brf	1142	1115	409	400	660
Brms1	1043	1012	458	451	555
Bro	0	0	0	0	0
Bruce	22180	22043	6947	10231	13156
Bsg	10844	11419	3062	2849	5044
Bsg25A	0	0	0	0	0
Bsg25D	2856	3035	920	947	1238
BtbVII	3324	3334	907	1431	1541
BthD	1444	1025	213	527	536
Btk29A	8270	9276	2383	2275	3512
Btnd	185	138	81	103	79
BuGZ	2483	2483	1291	1253	1771
Bub1	1469	1311	464	594	647
Bub3	1508	1429	524	754	835
BubR1	1904	1734	281	937	1014
Buffy	254	413	99	69	333
Bug22	706	499	216	197	375
Burs	0	1	0	0	0
Bx	647	645	91	178	250
Bx42	2048	1755	913	847	1049
C15	0	0	0	0	0
C1GalTA	1559	1468	660	833	1534
C3G	2024	2142	805	999	1109
C901	0	0	0	0	0
CAH1	25	37	95	23	144
CAH2	355	444	83	95	175
CAHbeta	525	509	30	196	233
CAP	1979	1962	341	446	816
CASK	2181	2256	1093	1231	1529
CBP	1938	1825	345	1031	948
CCAP	0	1	0	0	0
CCAP-R	11	7	52	0	19
CCDC151	0	0	6	0	0
CCDC53	96	101	50	21	58
CCHa1	0	1	0	0	0
CCHa1-R	1	8	0	0	1
CCHa2	23	46	140	22	33
CCHa2-R	0	2	0	0	0
CCKLR-17D1	0	0	0	0	0
CCKLR-17D3	7	10	0	0	3
CCY	0	0	0	0	0
CD98hc	6540	7153	5369	2859	4853
CDC45L	1368	1269	535	548	619
CDK2AP1	752	597	315	224	363
CDase	187	187	73	76	112
CG10000	0	0	0	0	6
CG10005	58	69	26	50	30
CG10011	2764	2896	518	703	1316
CG10013	90	42	0	36	36
CG10014	0	0	0	7	3
CG10019	226	137	4	24	59
CG10026	67	71	3	5	36
CG10029	0	0	0	0	0
CG10031	24	10	0	6	0
CG10035	0	0	1	6	6
CG10038	555	451	248	259	336
CG10041	39	48	10	15	30
CG10050	329	262	185	99	175
CG10051	47	27	3	0	7
CG10053	185	164	89	129	83
CG10055	1529	1554	451	556	738
CG10062	736	590	228	74	175
CG10063	101	85	38	41	48
CG10064	17	16	0	7	12
CG10068	759	735	315	180	502
CG10073	36	45	0	0	14
CG10075	372	309	127	228	213
CG10077	13400	13162	5956	8717	7714
CG10081	3	9	0	0	7
CG10082	5824	6148	1036	1522	2953
CG10086	1	2	15	14	30
CG10089	162	171	42	69	117
CG10096	0	0	0	0	0
CG10097	0	0	0	0	0
CG10098	968	1098	520	456	525
CG10103	2988	3609	841	1005	1814
CG10104	0	0	0	0	0
CG10116	0	4	0	0	0
CG10126	2356	3091	49	171	1377
CG10131	27	35	21	23	21
CG10132	7	4	2	14	0
CG10133	490	425	104	127	190
CG10137	164	162	131	121	134
CG10139	520	397	145	206	289
CG10140	0	1	0	3	0
CG10147	509	426	73	51	164
CG10151	140	138	45	125	142
CG10154	1	0	0	0	0
CG10163	467	526	87	424	1438
CG10164	0	1	0	0	0
CG10165	288	256	202	146	220
CG10166	1151	960	899	614	837
CG10168	0	0	0	0	0
CG10170	0	2	37	5	7
CG10171	776	748	205	203	384
CG10175	119	152	165	208	303
CG10177	0	1	3	7	1
CG10178	3657	5363	201	288	3772
CG10182	32	37	0	79	43
CG10183	23	26	7	60	27
CG10184	335	295	917	298	286
CG10185	8	20	0	13	17
CG10188	1846	1953	871	699	1082
CG10189	410	338	229	136	242
CG10194	457	429	303	184	304
CG10195	591	651	240	253	272
CG10202	0	0	0	0	0
CG10205	0	0	0	0	0
CG10208	231	315	30	44	127
CG10209	835	839	274	237	393
CG10211	107	69	4	44	113
CG10214	838	605	265	302	491
CG10217	2456	2633	1628	809	1953
CG10222	398	373	93	99	204
CG10226	149	249	290	80	250
CG10232	17	9	0	0	2
CG10237	1867	1835	2272	1682	1928
CG1024	845	709	188	254	392
CG10252	0	0	0	2	0
CG10254	8907	8342	2280	3317	3266
CG10257	3	3	7	0	0
CG10262	82	60	39	19	34
CG10264	0	4	50	0	5
CG10265	383	309	181	110	216
CG10268	261	192	90	99	76
CG10274	958	976	331	412	480
CG10280	0	1	0	0	5
CG10283	2187	2144	2729	2255	2410
CG10286	2576	2037	1065	1023	1422
CG10289	6113	6944	2151	2338	3800
CG10298	0	0	0	6	0
CG10300	1	1	0	4	1
CG10301	0	0	0	0	0
CG10306	4109	4118	2824	2376	3388
CG10307	7	6	8	4	5
CG10311	190	204	42	46	83
CG10317	0	0	1	0	0
CG10321	2437	2285	817	1076	1051
CG10324	526	571	276	201	243
CG10326	1929	1785	604	652	1192
CG10332	0	0	0	0	0
CG10333	1591	1609	887	1043	981
CG10336	468	469	90	263	185
CG10337	697	722	153	117	266
CG10338	821	894	569	278	572
CG10339	0	0	0	0	4
CG10340	1088	934	549	600	814
CG10341	1255	1122	462	469	831
CG10343	962	928	524	388	408
CG10344	392	334	110	80	155
CG10345	6	4	0	9	0
CG10347	819	553	344	309	466
CG10348	14	4	0	0	0
CG10352	3	3	3	0	20
CG10353	1352	1168	531	795	791
CG10357	18	15	0	0	7
CG10359	128	85	24	0	28
CG10361	0	4	0	0	5
CG10362	0	0	0	6	5
CG10365	6871	8806	365	604	4023
CG10366	455	438	193	180	190
CG10375	1024	1151	495	414	627
CG10376	1473	1448	589	560	905
CG10383	2130	2100	1242	1098	1672
CG10384	0	0	0	5	0
CG10395	1129	954	309	214	478
CG10399	323	242	281	196	223
CG10405	7	19	4	0	6
CG10407	2955	3068	8894	2992	8358
CG10413	13783	15969	2093	1910	6093
CG10417	7509	6819	3105	2490	4028
CG10418	277	236	181	195	201
CG10420	259	255	297	190	167
CG10424	815	691	209	319	528
CG10425	810	877	372	266	316
CG10428	913	830	297	303	538
CG10431	311	291	91	136	125
CG10433	2032	2060	467	115	669
CG10435	1053	858	418	419	684
CG10444	2505	2756	1599	1125	1949
CG10445	802	616	73	159	235
CG10459	0	0	0	0	0
CG10462	2551	1906	601	1020	1288
CG10463	867	888	333	478	456
CG10465	3341	2939	1194	629	1712
CG10466	248	228	89	93	95
CG10467	383	338	372	297	371
CG10469	74	60	66	13	52
CG10470	1592	1379	1116	598	900
CG10472	14	16	46	19	7
CG10474	0	0	0	0	0
CG10476	0	0	0	0	0
CG10477	0	0	0	0	0
CG10479	541	495	264	319	368
CG10481	0	0	0	0	0
CG10483	16	4	2	6	4
CG10486	0	0	0	0	0
CG10492	2167	2193	830	999	927
CG10494	498	467	83	176	205
CG10495	270	246	141	127	116
CG10505	80	65	17	14	51
CG10508	50	58	0	2	8
CG10510	2	0	0	0	3
CG10512	518	460	1363	297	357
CG10513	5	3	144	144	153
CG10514	54	34	287	166	284
CG10516	362	312	75	100	304
CG10527	1768	1474	1932	1022	1647
CG10543	2724	2649	905	1610	1262
CG10550	711	642	20	37	291
CG10553	51	54	65	61	100
CG10555	1586	1397	900	982	748
CG10559	216	212	18	16	44
CG10560	77	44	30	66	91
CG10561	260	218	104	92	207
CG10562	107	110	34	47	81
CG10565	4653	4270	2015	2386	2430
CG10570	0	0	0	0	0
CG10576	16344	13152	10184	8275	10565
CG10581	20	34	23	10	8
CG10584	261	206	66	59	63
CG10585	574	482	270	290	291
CG10587	4	0	0	0	0
CG10588	2	3	0	6	0
CG10589	0	0	4	0	0
CG10591	0	1	9	0	0
CG10592	11	6	14	22	27
CG10597	0	1	0	0	0
CG10598	0	0	0	0	0
CG10600	3179	2754	1046	1970	1658
CG10602	4228	3843	2547	1959	2576
CG10616	954	1020	1058	558	1000
CG10621	617	684	135	115	361
CG10623	6425	7395	4790	3738	6628
CG10628	426	398	134	183	253
CG10631	3248	3125	862	1213	1236
CG10638	1965	1688	808	834	1365
CG10639	657	616	378	303	361
CG10646	358	345	127	125	274
CG10650	284	278	66	55	72
CG10651	2	0	0	0	0
CG10654	57	82	0	27	36
CG10657	9	13	0	16	26
CG10659	0	0	0	0	0
CG10660	1120	1217	247	219	615
CG10663	460	381	14	7	52
CG10669	547	615	181	226	392
CG10671	865	970	657	414	694
CG10672	708	711	445	432	618
CG10674	618	489	535	340	431
CG10680	29	39	0	2	2
CG10681	281	253	73	85	155
CG10694	8	1	0	0	1
CG10700	4	3	0	9	3
CG10702	534	478	34	111	134
CG10710	0	0	0	0	0
CG10713	0	0	0	0	0
CG10721	514	434	215	176	237
CG10725	0	0	0	0	0
CG10730	60	68	15	35	20
CG10731	188	187	66	80	104
CG10734	7	13	0	6	5
CG10737	6218	7714	930	1179	3779
CG10738	404	390	84	474	391
CG1074	1169	1170	373	491	535
CG10747	359	413	118	104	227
CG10748	0	0	0	0	0
CG10749	0	0	0	0	0
CG10750	0	0	0	0	0
CG10752	0	0	0	0	0
CG10754	664	561	529	419	450
CG10761	10	7	0	0	6
CG10764	12	16	0	6	22
CG1077	1362	1210	206	1245	3601
CG10778	602	586	468	327	447
CG10793	20	21	0	5	5
CG10795	384	281	142	144	166
CG10799	29	23	0	3	10
CG10801	48	42	10	85	33
CG10802	897	764	537	476	561
CG10803	2250	1900	623	857	986
CG10804	1	3	0	14	6
CG10809	648	516	283	257	288
CG10814	6	9	18	4	3
CG10822	0	0	0	0	0
CG10827	1	2	7	5	0
CG10834	1	1	0	0	0
CG10839	0	0	0	0	0
CG10841	4	0	0	0	0
CG10845	8	10	1	33	9
CG10853	0	0	0	0	0
CG10859	12	25	17	27	49
CG10862	0	0	0	4	0
CG10863	1358	1270	325	354	512
CG10864	34	52	11	57	15
CG10866	387	375	125	62	124
CG10869	21	21	0	1	23
